date,price,discount,is_holiday,cases_sold,day_of_week
2025-03-02,20.12,0.3,0,2168,Sunday
2025-03-03,18.59,0.0,0,1088,Monday
2025-03-04,17.91,0.08,0,1426,Tuesday
2025-03-05,17.64,0.1,0,1419,Wednesday
2025-03-06,23.33,0.0,0,494,Thursday
2025-03-07,19.63,0.15,0,1296,Friday
2025-03-08,20.52,0.05,0,1064,Saturday
2025-03-09,19.55,0.1,0,1471,Sunday
2025-03-10,20.69,0.05,0,931,Monday
2025-03-11,21.65,0.0,0,505,Tuesday
2025-03-12,21.75,0.0,0,596,Wednesday
2025-03-13,22.29,0.0,0,593,Thursday
2025-03-14,18.35,0.15,0,1547,Friday
2025-03-15,19.68,0.15,0,1452,Saturday
2025-03-16,21.33,0.0,0,1038,Sunday
2025-03-17,18.12,0.0,0,961,Monday
2025-03-18,17.82,0.0,0,786,Tuesday
2025-03-19,23.3,0.0,0,466,Wednesday
2025-03-20,19.47,0.02,0,948,Thursday
2025-03-21,18.02,0.3,0,1952,Friday
2025-03-22,22.91,0.0,0,955,Saturday
2025-03-23,22.9,0.0,0,944,Sunday
2025-03-24,20.01,0.0,0,839,Monday
2025-03-25,19.82,0.0,0,930,Tuesday
2025-03-26,19.68,0.0,0,921,Wednesday
2025-03-27,23.71,0.0,0,684,Thursday
2025-03-28,18.34,0.25,0,1842,Friday
2025-03-29,22.9,0.15,0,1542,Saturday
2025-03-30,21.16,0.15,0,1498,Sunday
2025-03-31,19.7,0.02,0,856,Monday
2025-04-01,23.85,0.0,0,688,Tuesday
2025-04-02,19.1,0.0,0,805,Wednesday
2025-04-03,19.53,0.0,0,945,Thursday
2025-04-04,23.13,0.0,0,604,Friday
2025-04-05,23.75,0.15,0,1209,Saturday
2025-04-06,19.1,0.15,0,1603,Sunday
2025-04-07,23.23,0.08,0,838,Monday
2025-04-08,20.42,0.0,0,740,Tuesday
2025-04-09,18.34,0.0,0,905,Wednesday
2025-04-10,21.13,0.05,0,938,Thursday
2025-04-11,20.05,0.3,0,1615,Friday
2025-04-12,19.49,0.0,0,1085,Saturday
2025-04-13,21.77,0.15,0,1419,Sunday
2025-04-14,18.51,0.0,0,947,Monday
2025-04-15,24.4,0.0,0,607,Tuesday
2025-04-16,19.16,0.05,0,1128,Wednesday
2025-04-17,20.07,0.02,0,935,Thursday
2025-04-18,18.13,0.25,0,2078,Friday
2025-04-19,19.75,0.0,0,1080,Saturday
2025-04-20,22.24,0.0,0,821,Sunday
2025-04-21,21.08,0.0,0,591,Monday
2025-04-22,22.34,0.0,0,681,Tuesday
2025-04-23,24.06,0.0,0,401,Wednesday
2025-04-24,23.97,0.08,0,743,Thursday
2025-04-25,19.31,0.2,0,1579,Friday
2025-04-26,21.21,0.05,0,1291,Saturday
2025-04-27,18.15,0.25,0,2094,Sunday
2025-04-28,19.87,0.0,0,903,Monday
2025-04-29,22.58,0.08,0,916,Tuesday
2025-04-30,21.99,0.0,0,692,Wednesday
2025-05-01,18.63,0.08,0,1217,Thursday
2025-05-02,17.54,0.0,0,898,Friday
2025-05-03,21.34,0.2,0,1506,Saturday
2025-05-04,22.49,0.05,0,1117,Sunday
2025-05-05,19.78,0.05,0,1107,Monday
2025-05-06,22.1,0.02,0,762,Tuesday
2025-05-07,18.16,0.0,0,831,Wednesday
2025-05-08,24.31,0.0,0,378,Thursday
2025-05-09,23.74,0.2,0,1221,Friday
2025-05-10,21.54,0.15,0,1633,Saturday
2025-05-11,18.87,0.25,0,1881,Sunday
2025-05-12,24.08,0.1,0,901,Monday
2025-05-13,23.9,0.0,0,564,Tuesday
2025-05-14,24.25,0.08,0,752,Wednesday
2025-05-15,19.56,0.0,0,779,Thursday
2025-05-16,18.69,0.15,0,1526,Friday
2025-05-17,24.05,0.2,0,1340,Saturday
2025-05-18,21.81,0.3,0,1982,Sunday
2025-05-19,18.48,0.02,0,1026,Monday
2025-05-20,22.38,0.05,0,863,Tuesday
2025-05-21,20.02,0.0,0,860,Wednesday
2025-05-22,23.57,0.1,0,943,Thursday
2025-05-23,21.08,0.15,0,1312,Friday
2025-05-24,22.41,0.25,0,1880,Saturday
2025-05-25,23.73,0.1,0,1027,Sunday
2025-05-26,21.55,0.0,0,655,Monday
2025-05-27,20.76,0.02,0,895,Tuesday
2025-05-28,17.71,0.0,0,778,Wednesday
2025-05-29,23.26,0.0,0,563,Thursday
2025-05-30,22.89,0.05,0,628,Friday
2025-05-31,21.86,0.0,0,915,Saturday
2025-06-01,21.28,0.2,0,1575,Sunday
2025-06-02,22.58,0.1,0,713,Monday
2025-06-03,23.07,0.0,0,592,Tuesday
2025-06-04,20.57,0.0,0,817,Wednesday
2025-06-05,20.36,0.0,0,876,Thursday
2025-06-06,18.6,0.05,0,1291,Friday
2025-06-07,22.12,0.05,0,1114,Saturday
2025-06-08,24.18,0.25,0,1866,Sunday
2025-06-09,20.44,0.0,0,890,Monday
2025-06-10,19.99,0.05,0,1029,Tuesday
2025-06-11,20.82,0.0,0,831,Wednesday
2025-06-12,20.94,0.0,0,699,Thursday
2025-06-13,20.29,0.2,0,1328,Friday
2025-06-14,21.95,0.0,0,1076,Saturday
2025-06-15,21.02,0.25,0,1676,Sunday
2025-06-16,22.11,0.0,0,665,Monday
2025-06-17,17.69,0.02,0,971,Tuesday
2025-06-18,24.08,0.02,0,754,Wednesday
2025-06-19,20.71,0.02,0,668,Thursday
2025-06-20,24.09,0.1,0,876,Friday
2025-06-21,18.0,0.1,0,1475,Saturday
2025-06-22,23.41,0.0,0,723,Sunday
2025-06-23,18.33,0.02,0,1097,Monday
2025-06-24,21.9,0.08,0,1035,Tuesday
2025-06-25,19.47,0.0,0,915,Wednesday
2025-06-26,22.75,0.08,0,871,Thursday
2025-06-27,20.1,0.25,0,1681,Friday
2025-06-28,19.89,0.3,0,2082,Saturday
2025-06-29,22.76,0.25,0,1849,Sunday
2025-06-30,18.22,0.1,0,1440,Monday
2025-07-01,19.74,0.08,0,1102,Tuesday
2025-07-02,20.22,0.0,0,822,Wednesday
2025-07-03,24.15,0.02,0,543,Thursday
2025-07-04,21.92,0.15,1,1460,Friday
2025-07-05,22.21,0.25,0,1613,Saturday
2025-07-06,23.04,0.25,0,1695,Sunday
2025-07-07,17.9,0.02,0,919,Monday
2025-07-08,20.59,0.08,0,936,Tuesday
2025-07-09,18.5,0.05,0,1048,Wednesday
2025-07-10,21.83,0.0,0,692,Thursday
2025-07-11,18.01,0.25,0,1763,Friday
2025-07-12,22.44,0.0,0,693,Saturday
2025-07-13,23.19,0.3,0,1691,Sunday
2025-07-14,24.4,0.05,0,558,Monday
2025-07-15,22.94,0.02,0,623,Tuesday
2025-07-16,20.47,0.1,0,1112,Wednesday
2025-07-17,17.58,0.0,0,861,Thursday
2025-07-18,17.89,0.0,0,996,Friday
2025-07-19,22.72,0.15,0,1271,Saturday
2025-07-20,24.24,0.1,0,1164,Sunday
2025-07-21,19.07,0.1,0,1171,Monday
2025-07-22,17.59,0.1,0,1357,Tuesday
2025-07-23,18.02,0.02,0,1020,Wednesday
2025-07-24,24.29,0.02,0,722,Thursday
2025-07-25,20.68,0.2,0,1564,Friday
2025-07-26,21.59,0.3,0,2243,Saturday
2025-07-27,19.44,0.0,0,995,Sunday
2025-07-28,20.75,0.0,0,652,Monday
2025-07-29,24.32,0.1,0,844,Tuesday
2025-07-30,22.39,0.02,0,804,Wednesday
2025-07-31,22.29,0.0,0,559,Thursday
2025-08-01,23.88,0.25,0,1225,Friday
2025-08-02,24.03,0.25,0,1842,Saturday
2025-08-03,17.82,0.0,0,1355,Sunday
2025-08-04,24.41,0.0,0,412,Monday
2025-08-05,21.66,0.0,0,661,Tuesday
2025-08-06,20.4,0.0,0,918,Wednesday
